BP-NN
Epoch,Run 2,Run 4,Run 8,Run 18,Run 21,Run 22,Run 39,Run 43,Run 44,Run 50,Mean
18,0.1179,0.112,0.1234,0.1194,0.1081,0.1136,0.1084,0.1097,0.1137,0.1033,0.11295
19,0.115,0.111,0.1201,0.1175,0.106,0.1114,0.1071,0.1087,0.1099,0.1026,0.11093
20,0.1141,0.1101,0.1164,0.1158,0.1049,0.1103,0.1062,0.1078,0.1076,0.1013,0.10945
21,0.1129,0.1095,0.1152,0.1145,0.1038,0.1093,0.1054,0.107,0.1059,0.1002,0.10837
22,0.1122,0.109,0.1136,0.1132,0.103,0.1083,0.1049,0.1065,0.1039,0.0995,0.10741
23,0.1115,0.1087,0.1123,0.1121,0.1023,0.1076,0.1044,0.106,0.103,0.099,0.10669
24,0.111,0.1082,0.1113,0.1112,0.1017,0.1071,0.1041,0.1058,0.1017,0.0984,0.10605
25,0.1107,0.108,0.1102,0.1105,0.1013,0.1067,0.1037,0.1056,0.1011,0.0981,0.10559
26,0.1102,0.1078,0.1096,0.1099,0.101,0.1063,0.1035,0.1054,0.1003,0.0978,0.10518000000000001
27,0.1098,0.1076,0.109,0.1094,0.1007,0.1061,0.1033,0.1052,0.1,0.0976,0.10486999999999999
28,0.1096,0.1075,0.1085,0.1089,0.1005,0.1059,0.103,0.1051,0.0995,0.0974,0.10459
29,0.1094,0.1073,0.108,0.1086,0.1003,0.1057,0.1029,0.105,0.0992,0.0973,0.10437
30,0.1092,0.1072,0.1077,0.1083,0.1001,0.1056,0.1028,0.1049,0.099,0.0972,0.1042
31,0.109,0.1072,0.1075,0.1082,0.1,0.1054,0.1026,0.1049,0.0988,0.0971,0.10407
32,0.1089,0.1071,0.1073,0.108,0.0999,0.1054,0.1025,0.1048,0.0987,0.097,0.10396000000000001
33,0.1088,0.107,0.1071,0.1078,0.0999,0.1053,0.1025,0.1048,0.0986,0.0969,0.10386999999999999
34,0.1087,0.107,0.107,0.1077,0.0998,0.1052,0.1024,0.1047,0.0985,0.0969,0.10379000000000001
35,0.1086,0.1069,0.1069,0.1076,0.0997,0.1051,0.1023,0.1047,0.0984,0.0968,0.10369999999999999
36,0.1086,0.1069,0.1068,0.1075,0.0997,0.1051,0.1023,0.1047,0.0984,0.0968,0.10368
37,0.1085,0.1068,0.1068,0.1074,0.0996,0.105,0.1022,0.1046,0.0984,0.0968,0.10361000000000001
38,0.1085,0.1068,0.1067,0.1074,0.0996,0.105,0.1022,0.1046,0.0983,0.0967,0.10358
39,0.1084,0.1068,0.1067,0.1073,0.0996,0.1049,0.1022,0.1046,0.0983,0.0967,0.10355
40,0.1084,0.1068,0.1066,0.1073,0.0995,0.1049,0.1021,0.1046,0.0983,0.0967,0.10352000000000001
41,0.1084,0.1068,0.1066,0.1072,0.0995,0.1048,0.1021,0.1046,0.0982,0.0967,0.10349
42,0.1084,0.1068,0.1066,0.1072,0.0995,0.1048,0.1021,0.1046,0.0982,0.0966,0.10347999999999999
43,0.1083,0.1068,0.1066,0.1072,0.0994,0.1047,0.1021,0.1045,0.0982,0.0966,0.10344
44,0.1083,0.1067,0.1065,0.1071,0.0994,0.1047,0.1021,0.1045,0.0982,0.0966,0.10340999999999997
45,0.1083,0.1067,0.1065,0.1071,0.0994,0.1047,0.102,0.1045,0.0982,0.0966,0.10339999999999998
46,0.1083,0.1067,0.1065,0.1071,0.0994,0.1046,0.102,0.1045,0.0982,0.0966,0.10338999999999998
47,0.1083,0.1067,0.1065,0.107,0.0994,0.1046,0.102,0.1045,0.0982,0.0966,0.10337999999999999
48,0.1082,0.1067,0.1065,0.107,0.0993,0.1046,0.102,0.1045,0.0982,0.0966,0.10335999999999998
49,0.1082,0.1067,0.1065,0.107,0.0993,0.1045,0.1019,0.1045,0.0981,0.0965,0.10332
50,0.1082,0.1067,0.1065,0.107,0.0993,0.1045,0.1019,0.1045,0.0981,0.0965,0.10332
