BP-NN
Epoch,Run 8,Run 16,Run 22,Run 36,Run 39,Run 40,Run 41,Run 44,Run 45,Run 46,Run 48,Run 49,Run 50,Mean
21,0.11,0.105,0.1088,0.1452,0.1401,0.1215,0.1637,0.1354,0.1237,0.1082,0.1268,0.197,0.1506,0.13353846153846155
22,0.1066,0.105,0.1075,0.1418,0.1381,0.1143,0.1568,0.1285,0.1159,0.1067,0.1262,0.1944,0.1488,0.13004615384615387
23,0.1055,0.1032,0.1066,0.1418,0.1355,0.1141,0.1553,0.1285,0.1144,0.1067,0.121,0.194,0.1417,0.12833076923076922
24,0.1053,0.1016,0.1037,0.1336,0.1355,0.1115,0.1545,0.1272,0.1107,0.1057,0.1192,0.194,0.1409,0.1264153846153846
25,0.1044,0.1016,0.0994,0.1308,0.1355,0.1074,0.1495,0.1228,0.1099,0.1057,0.1153,0.1937,0.1409,0.12437692307692308
26,0.1034,0.0982,0.0994,0.1239,0.1279,0.1068,0.1468,0.1228,0.1037,0.1044,0.1153,0.1923,0.1212,0.12046923076923076
27,0.102,0.0968,0.0956,0.1239,0.1279,0.1029,0.1463,0.1204,0.1037,0.104,0.1153,0.1912,0.1212,0.11932307692307692
28,0.102,0.0968,0.0925,0.1216,0.1246,0.096,0.1448,0.1204,0.1031,0.1039,0.1149,0.1882,0.1179,0.11743846153846153
29,0.1013,0.0951,0.092,0.1212,0.1235,0.096,0.138,0.1203,0.1031,0.1036,0.1126,0.1881,0.1085,0.11563846153846152
30,0.0999,0.0951,0.0916,0.1172,0.1233,0.0947,0.1264,0.1194,0.102,0.1036,0.1117,0.1844,0.1085,0.11367692307692308
31,0.0999,0.094,0.0913,0.1146,0.1232,0.0938,0.1233,0.114,0.1016,0.1026,0.1107,0.1687,0.1053,0.111
32,0.0995,0.0937,0.0907,0.1138,0.1173,0.0895,0.1233,0.1127,0.0995,0.1026,0.1107,0.1486,0.1052,0.10823846153846153
33,0.0992,0.0921,0.0904,0.113,0.1173,0.0895,0.1233,0.1127,0.0991,0.1019,0.1099,0.1409,0.1052,0.10726923076923077
34,0.0984,0.0921,0.0895,0.1129,0.1156,0.0895,0.1222,0.1121,0.0983,0.1009,0.1097,0.1288,0.1002,0.10540000000000001
35,0.0977,0.0912,0.0891,0.1106,0.1139,0.0885,0.1203,0.1121,0.0919,0.1009,0.1097,0.1277,0.0956,0.10378461538461536
36,0.0964,0.0904,0.0891,0.1104,0.113,0.0865,0.1143,0.1111,0.0916,0.1009,0.1097,0.1231,0.0956,0.10246923076923076
